county	state_abbrev	crime_rate_per_100000	MURDER	ROBBERY	BURGLRY
San Benito	CA	376.7361111	1	33	357
Scott	KY	376.3989829	1	33	352
Charles	MD	376.1513502	6	154	615
Allendale	SC	376.0544771	0	4	151
Grimes	TX	376.0378272	1	8	187
Kalamazoo	MI	375.8885967	13	223	1635
Crawford	GA	375.8797185	1	6	162
Washoe	NV	375.8089692	12	411	2626
Assumption Parish	LA	375.2102471	2	7	96
Onondaga	NY	374.9036587	15	539	2988
Rock Island	IL	374.8523	4	80	721
Gaston	NC	374.8448095	6	194	1826
Anderson	TX	374.5382996	3	23	427
Essex	MA	374.1394007	8	561	2930
Atkinson	GA	373.9445115	1	4	72
Henderson	TX	373.6892278	2	18	657
Wyoming	WV	373.6044137	1	7	131
Hart	GA	373.3396212	0	6	200
Campbell	TN	372.7819474	1	25	591
Winston	AL	372.7325437	1	3	177
Douglas	KS	372.6316894	0	57	745
Mason	IL	371.9820326	0	3	46
Kent	TX	371.7472119	0	0	5
Sunflower	MS	371.4683716	2	28	275
Cass	MN	371.2134477	3	1	216
Columbus	NC	370.3315515	4	55	959
Fayette	KY	369.9404723	16	618	3087
Seminole	GA	368.921185	1	4	55
San Diego	CA	368.6724057	107	3200	14076
Williams	ND	368.305457	1	2	92
Brown	TX	368.2216747	3	10	214
Kay	OK	368.1546249	0	33	323
Taylor	TX	367.5894928	3	126	1083
Musselshell	MT	367.249946	0	0	11
Spokane	WA	366.5013204	18	658	6147
Mercer	WV	366.2235416	5	34	523
Rhea	TN	366.0074432	0	8	201
Marshall	IA	365.9072059	1	6	319
Chesapeake city	VA	365.1803566	12	202	1044
Morgan	TN	365.0467716	2	4	161
Plymouth	MA	365.0020422	7	307	2429
Boone	MO	364.8117677	3	180	1023
Lancaster	NE	364.6022704	4	201	1755
Allegany	MD	364.5217013	3	42	571
Caldwell	TX	364.4983687	0	15	223
Monroe	AR	364.4884145	1	5	57
Pratt	KS	364.4462442	0	1	64
Mahoning	OH	364.3065135	25	311	2855
Scurry	TX	364.1197549	1	4	108
Glacier	MT	363.9275056	1	0	39
Dixie	FL	363.8644918	0	5	213
Oregon	MO	363.7686431	1	1	38
Reynolds	MO	363.6914684	3	0	33
Jackson	AR	363.3267102	0	15	235
Newton	GA	363.1181305	5	54	986
Lamar	TX	362.1575689	5	37	441
Cape Girardeau	MO	362.131402	3	68	691
Sonoma	CA	362.0019191	4	232	1826
Drew	AR	361.9909502	1	5	151
Bladen	NC	361.6221336	2	20	454
Walton	FL	361.1617369	1	18	375
Worcester	MD	360.3254553	1	31	432
Poinsett	AR	360.3230483	2	7	217
Lincoln	OR	360.3020496	0	16	320
Yakima	WA	359.4501384	19	218	3051
Washington	IA	358.8462412	0	1	61
Atchison	KS	358.2303421	0	6	112
Robertson	TX	357.8794128	0	5	126
Rockdale	GA	357.8043926	1	56	804
Navajo	AZ	357.8017555	3	13	659
Fannin	GA	357.7441077	0	2	172
Henry	VA	357.2989718	5	28	380
Franklin	IL	357.1246365	0	9	257
Gilpin	CO	357.079093	0	0	28
Floyd	GA	356.9154987	5	56	903
Monroe	NY	356.854134	41	1011	4968
Amador	CA	355.9790794	0	14	241
Ouachita	AR	355.9715223	2	11	240
Boone	AR	355.653011	1	3	292
Orange	TX	355.6059163	1	47	675
Santa Fe	NM	355.4397889	6	136	2735
Pasquotank	NC	355.1687051	3	39	348
Chilton	AL	354.9407294	0	14	389
Suwannee	FL	354.415329	1	17	337
Hillsborough	FL	353.8307404	53	1130	7139
Obion	TN	353.3455398	0	12	220
St. Martin Parish	LA	353.2567629	3	16	185
Floyd	TX	353.1300161	1	1	41
Williamson	IL	352.6388142	0	14	507
Juneau City and Borough	AK	352.1126761	0	16	94
Beaufort	NC	351.8456093	1	36	504
Caldwell	MO	351.7643179	0	0	72
Caroline	MD	351.7572569	3	21	336
Limestone	TX	351.5390551	2	7	246
Elko	NV	351.2522908	6	10	343
Mitchell	TX	350.9891512	0	0	83
Tillman	OK	350.1491376	0	2	68
Granville	NC	350.0643501	0	46	712
Lexington	SC	349.9517812	12	156	1500
Providence	RI	348.8705059	30	632	4292
Harrison	TX	348.3539156	3	20	597
Polk	FL	348.309575	39	421	5796
Dickson	TN	348.1478534	4	3	328
Swisher	TX	347.8036841	0	2	54
Grant	NM	347.7905074	0	17	207
Cross	AR	347.6179622	0	3	190
Yuma	AZ	346.4197494	8	72	1567
Bristol city	VA	346.0008073	2	17	114
Napa	CA	345.6237618	2	71	658
Stokes	NC	345.5825534	2	9	452
Travis	TX	345.4200618	32	997	8244
Blount	TN	345.3265014	3	43	987
Clinton	MO	345.1460794	1	2	108
Union	NJ	345.0942625	28	966	2613
Lynchburg city	VA	344.8099059	3	46	367
DeKalb	TN	344.395742	2	9	159
Torrance	NM	343.5770185	0	0	125
San Patricio	TX	343.226938	4	16	517
Ste. Genevieve	MO	343.120711	1	1	38
Anderson	TN	342.85563	3	37	646
Hughes	SD	342.7004798	4	3	69
Lauderdale	MS	342.662048	12	134	1064
Hansford	TX	342.0342034	0	3	20
McCormick	SC	341.8116015	0	4	56
Coffee	AL	341.591739	2	12	321
Hamilton	FL	341.3682597	0	5	148
St. Joseph	IN	341.1958352	21	388	2626
Thomas	GA	340.9926675	3	32	536
Tunica	MS	340.9090909	4	13	77
Saline	IL	340.8316292	0	4	198
Surry	VA	339.985218	1	3	30
Weakley	TN	339.6226415	2	4	194
Laurens	GA	339.5904081	3	54	486
Cheatham	TN	339.3092272	1	9	211
Saline	KS	339.0742734	2	26	493
Pulaski	IL	338.5240352	0	2	27
Washington	NC	337.9971703	0	11	98
Lee	FL	337.9139787	45	553	4171
Pulaski	GA	337.8963784	0	2	80
Cleveland	OK	337.8629242	13	210	2383
Winn Parish	LA	337.5413488	1	8	102
Marshall	TN	337.2952136	1	1	152
King	WA	337.2057704	57	2572	17559
Grady	OK	337.1519046	1	13	443
Los Alamos	NM	337.1165299	0	0	39
Franklin	KY	336.3680309	3	68	469
Adams	CO	336.3221531	22	238	2175
Bastrop	TX	336.3006924	0	20	505
Lanier	GA	336.2797848	0	4	83
Wilcox	AL	336.0749978	0	5	45
Tate	MS	334.8253621	1	16	153
Coconino	AZ	334.7029054	4	56	555
Labette	KS	334.6720214	0	5	178
Lewis	TN	334.420199	0	4	52
Sutter	CA	333.508128	5	45	758
Seward	KS	333.4758444	0	7	163
Sevier	TN	333.4402052	1	44	1364
Berkshire	MA	333.371918	0	55	891
Clay	MS	333.2026656	4	8	147
Washington	CO	333.1251301	0	0	15
Hamilton	IA	333.0721003	0	3	70
Houston	GA	331.8479188	8	166	1142
Berks	PA	331.7848429	21	481	2462
Russell	KS	331.7467186	0	0	40
Lucas	IA	331.5801509	0	1	59
Cabell	WV	331.5042262	2	142	1289
Seminole	FL	331.3908554	17	357	2478
Aiken	SC	331.3517201	13	108	1618
Crawford	KS	330.9740822	1	10	371
Ashland	WI	330.9190809	0	2	78
Appanoose	IA	330.9171131	0	0	141
Manassas city	VA	330.8955761	3	51	111
Albany	NY	330.6781345	5	318	1497
Matagorda	TX	330.6733712	1	19	290
Indiana	PA	330.5031626	5	16	310
Montgomery	IL	330.4781817	0	3	102
Minnehaha	SD	329.5479849	2	60	863
Webster Parish	LA	329.4163922	1	13	153
Marion	AR	328.6670724	0	1	117
Lamar	GA	328.5260872	3	7	79
Gordon	GA	328.2099109	4	11	345
Blaine	ID	328.1916639	1	0	61
San Luis Obispo	CA	327.7348314	6	78	1568
Nacogdoches	TX	327.567733	1	30	430
Talladega	AL	326.7732071	3	39	1028
Duplin	NC	326.2099727	9	24	633
Webster	WV	326.0991791	3	1	26
Yadkin	NC	325.9897997	2	6	376
Washington	AL	325.8873022	2	3	68
West Baton Rouge Parish	LA	325.5605746	4	7	72
Lincoln Parish	LA	324.7985827	3	29	378
Union	TN	324.5733431	2	9	237
Tama	IA	324.3058716	0	0	45
Citrus	FL	323.8290814	5	57	737
Lake	FL	323.6655694	8	130	2003
Wood	WV	323.4414167	1	35	619
Lake	TN	323.3734316	0	2	28
Wilson	TN	323.0964779	4	44	569
Valley	ID	322.7149698	0	0	47
Craighead	AR	322.205581	4	82	1387
Pierce	GA	322.1037068	0	16	143
Stillwater	MT	321.9575016	0	1	54
Salt Lake	UT	321.9350184	27	773	6584
Sabine Parish	LA	321.8485661	0	6	73
Howell	MO	321.8379422	1	4	312
Shelby	TX	321.8052109	5	18	169
Logan	KS	321.6583274	0	0	8
Putnam	WV	321.270962	1	9	157
McDowell	WV	320.9427093	0	5	91
Ripley	MO	320.695553	0	1	95
Dodge	GA	320.4373027	0	4	211
Swain	NC	320.1024328	1	1	120
McLean	IL	320.0742068	1	84	770
Waynesboro city	VA	319.804355	0	9	88
Yavapai	AZ	319.8021689	12	47	943
San Augustine	TX	319.3066484	0	3	36
Beaver	PA	319.1958381	6	84	632
Pasco	FL	319.0312554	12	304	3597
Licking	OH	318.9309577	0	66	1087
Lowndes	GA	318.8210705	5	97	901
Lee	TX	318.7394756	0	3	91
Suffolk city	VA	318.4490482	2	52	357
Doniphan	KS	318.4307732	0	0	46
Ford	IL	318.1029497	0	1	64
Geneva	AL	318.0304561	0	5	162
Edgar	IL	317.3719376	0	3	88
Franklin	MA	317.3221381	1	26	484
Mesa	CO	317.1720184	5	44	573
Jackson	OR	316.9579707	4	82	1029
Sarasota	FL	316.8309731	17	288	2741
Hidalgo	TX	316.7907686	30	474	6465
Lee	GA	316.4665818	1	5	150
Crawford	AR	316.3530175	1	8	456
Jackson	MI	316.1458885	7	71	723
Franklin	AR	316.0696462	2	2	99
Troup	GA	315.6995351	5	76	706
Pawnee	KS	315.5931717	0	0	48
Marshall	SD	314.9275667	0	0	11
Danville city	VA	314.6339758	3	54	424
Chariton	MO	314.6303094	0	0	28
Faulkner	AR	314.4338518	4	80	1064
Little River	AR	314.2183818	0	1	61
Ozark	MO	313.8075314	1	2	82
Harmon	OK	313.6981527	1	2	34
Cherokee	SC	313.1430616	3	20	338
Rowan	NC	313.0354316	3	129	1306
Polk	IA	312.8341713	8	280	3410
Mono	CA	312.6332244	0	9	86
Chowan	NC	312.3726742	0	15	138
Lonoke	AR	312.3542465	0	18	864
Quay	NM	311.7063034	0	4	125
St. Joseph	MI	311.6593399	0	7	256
Catawba	NC	311.349396	13	119	1555
Adair	OK	310.8948364	1	1	156
Grant	AR	310.7830623	1	3	137
Henry	TN	310.4625893	1	12	293
Garfield	WA	310.2836879	0	0	16
Marion	TN	310.1430887	0	4	116
Craven	NC	310.0804869	3	61	1888
Gunnison	CO	309.5376282	0	2	35
Vanderburgh	IN	309.2647107	8	199	1132
Howard	AR	309.2555776	0	2	120
Hardy	WV	308.908046	0	0	32
Kankakee	IL	308.5979308	8	82	658
Indian River	FL	308.4637379	1	64	851
Somerset	MD	308.3012979	3	9	147
Bates	MO	308.1570997	0	1	115
Butte	CA	307.98325	11	167	1919
Mahnomen	MN	307.3029646	0	0	36
Stephens	OK	307.2196621	3	19	441
Wayne	IL	307.0069829	0	1	87
Stewart	TN	306.8402934	1	3	61
Jefferson	GA	306.372549	0	17	121
Kearny	KS	305.8883508	0	0	17
Panola	TX	305.823209	0	8	208
Pecos	TX	305.7909155	1	2	74
Hartford	CT	305.5867265	34	1153	4293
Woodbury	IA	305.4929991	3	46	709
Cowlitz	WA	305.3210289	4	66	872
Lafayette	FL	305.1537071	1	1	28
Riverside	CA	304.8627551	76	2349	19105
Sheridan	NE	304.7038659	0	1	17
Clearfield	PA	304.2846232	0	12	325
Jackson	TN	303.8985847	0	2	83
Washington	MS	303.896313	11	54	1242
Adams	IL	303.8879785	0	16	287
Iron	UT	303.548525	1	5	218
Stark	OH	303.3838352	13	583	3773
St. Louis	MO	303.3619454	38	732	5444
Cass	TX	303.3200356	2	8	298
Broome	NY	303.2389361	7	135	1252
Jefferson	TN	303.1291368	3	26	399
Hertford	NC	302.8938644	4	15	225
Tyler	TX	302.83265	1	1	130
Tippecanoe	IN	302.4853752	1	87	1032
Bay	MI	302.343867	1	41	453
Kauai	HI	302.1061112	0	22	689
Richland Parish	LA	302.0568634	0	3	75
Knox	IL	301.4708706	2	14	340
Jack	TX	301.4402144	0	0	39
Carroll	GA	300.8321837	3	71	903
Midland	TX	300.3934825	5	54	700
Greene	GA	300.2267018	1	4	100
Carbon	UT	300.1715266	9	1	211
Walton	GA	299.6944749	21	42	817
Polk	TN	299.5805872	4	2	115
Madison	AR	299.3439908	0	0	48
Sullivan	PA	299.1654858	0	0	44
Banks	GA	298.6695629	0	1	109
Maverick	TX	298.5768433	3	4	512
Clark	OH	298.1632848	5	182	1753
Arapahoe	CO	297.9886998	22	552	2879
Scott	KS	297.9145978	0	0	16
Mitchell	KS	297.8990279	0	0	15
Jackson	MS	296.9028124	5	103	1406
Lyon	NV	296.758927	1	12	322
Buena Vista	IA	296.5916274	0	0	90
Wakulla	FL	296.563729	0	4	149
Ochiltree	TX	296.1317786	0	0	35
Wayne	IN	296.0540851	7	55	613
Cass	ND	296.0160659	1	54	620
Mineral	WV	295.9861392	0	6	131
Boone	IA	295.8579882	1	2	122
Kootenai	ID	295.2899179	1	23	1173
Hernando	FL	295.2287593	2	71	1249
Marion	IL	295.1685568	0	15	292
Macon	TN	295.1411832	0	0	56
Sumner	TN	294.869973	2	41	674
Lawrence	AL	294.7569	0	6	206
Overton	TN	294.4507361	1	2	119
Washtenaw	MI	294.4331527	6	188	2339
Mille Lacs	MN	294.1973445	0	11	195
Lake	OR	294.1176471	0	0	7
Colorado	TX	293.9475713	4	2	120
Grant	WA	293.8679553	5	48	907
Carteret	NC	293.7136511	4	20	618
Dooly	GA	293.6241611	0	5	38
Scott	MS	293.5663	1	17	153
Surry	NC	292.9500342	7	28	679
Davison	SD	292.5894163	0	3	62
Lewis and Clark	MT	292.3260583	3	15	205
Perry	TN	292.2861863	0	1	33
Glades	FL	292.2442863	0	1	72
Jasper	IL	291.9099249	0	0	27
Fairfield	CT	291.8383154	33	948	3214
Claiborne	MS	291.7972549	2	5	136
Missoula	MT	291.5738728	0	43	468
Union Parish	LA	290.905836	0	2	86
Mitchell	GA	290.7355175	0	12	119
Macomb	MI	290.7218207	4	438	3591
Terry	TX	290.3554893	0	7	80
Carbon	MT	290.1353965	0	0	24
Camp	TX	290.018529	0	3	106
Perry	AR	289.9951667	0	1	37
Lake	MI	289.8296153	0	0	140
Deer Lodge	MT	289.4200879	1	0	13
Custer	OK	289.3420022	1	3	138
Franklin	TN	289.3335603	4	5	222
Grant	KS	289.3081761	0	1	41
Humboldt	CA	289.2343839	2	130	1130
Jasper	SC	289.1584363	9	25	201
Polk	AR	289.1306478	1	3	214
Eureka	NV	289.017341	0	0	14
Clark	WI	288.8920988	0	1	80
Orange	NY	288.8772924	9	377	1361
Iredell	NC	288.7239617	1	89	1650
Jerome	ID	288.7092476	0	7	138
Mills	IA	288.6680988	0	5	143
Jefferson	MS	288.3733124	0	0	12
Upshur	TX	288.3361749	1	11	345
Yellowstone	MT	288.0087181	3	73	975
Blaine	MT	287.7044216	0	0	3
Crawford	MI	287.6869965	0	1	84
Miller	GA	286.5812542	0	1	27
Kit Carson	CO	286.176434	0	0	15
Greene	IL	286.1545234	0	0	48
Allen	IN	285.3884423	24	469	2308
Richland	MT	285.3575887	0	2	50
Warren	MO	284.8571169	0	4	170
Hancock	TN	284.4737236	0	0	47
Elmore	AL	284.2945786	4	44	665
Chippewa	MI	284.2671077	1	1	126
Donley	TX	283.9295855	0	0	12
Washington	IL	283.7763012	0	1	30
Martinsville city	VA	283.5332606	1	7	77
Northampton	NC	283.1229905	1	9	205
Lamb	TX	283.1215971	1	5	119
Barber	KS	282.9997979	0	0	15
Levy	FL	282.514378	0	5	323
Toombs	GA	282.33051	3	14	235
Van Buren	MI	282.2874561	0	13	418
Humboldt	NV	282.2092956	2	2	62
Pettis	MO	281.9571141	0	16	497
Mingo	WV	281.8532819	3	5	86
St. Johns	FL	281.4254437	8	58	929
Luzerne	PA	281.1595018	17	233	1661
Barry	MO	281.119982	0	7	363
Broadwater	MT	281.0962755	0	0	3
Greene	AR	280.762002	2	17	685
Washington	FL	280.214425	0	4	100
Marion	AL	280.2136217	1	3	201
Yazoo	MS	279.7403436	1	16	252
Scott	IN	279.4927415	2	8	274
Jasper	GA	279.3912212	0	0	75
Harford	MD	279.2769296	3	156	1020
Glenn	CA	279.1696492	0	7	230
Rensselaer	NY	278.8929326	9	130	964
Warren	IA	278.8575292	0	0	226
Crook	OR	278.6452078	0	1	95
Imperial	CA	278.6209396	3	111	2037
Hall	NE	278.3267457	0	21	418
Butts	GA	278.2415136	0	12	118
Brown	WI	278.09856	8	98	989
Grand	UT	277.7777778	0	0	52
Houston	TN	277.3757839	0	1	35
Catron	NM	277.2387025	0	1	35
Mayes	OK	276.933634	2	2	221
Pocahontas	WV	276.8485408	0	1	26
Luce	MI	276.837896	0	1	24
Benewah	ID	276.42636	0	1	37
Mason	MI	276.1754938	2	1	147
Hardee	FL	276.172826	1	12	229
Jackson	OK	275.9889604	1	11	237
Bethel Census Area	AK	275.9319743	1	2	39
Burleigh	ND	275.8402388	1	17	387
Franklin	KS	275.8352758	0	5	153
Douglas	GA	275.7022709	1	77	815
Bradley	AR	275.5800516	1	9	141
Washington	OK	275.3165171	2	16	375
Montour	PA	275.0660698	0	1	66
Weld	CO	274.2924922	6	89	971
Rockingham	NC	274.2767583	7	51	1041
Yell	AR	274.0602019	1	6	198
Tom Green	TX	274.0226525	5	36	852
Coles	IL	273.7583105	2	14	140
Meriwether	GA	273.1725697	0	4	181
Decatur	KS	273.0375427	0	0	22
Garfield	OK	273.0178104	2	21	517
Twin Falls	ID	272.6465475	4	19	334
Choctaw	OK	272.515786	0	4	91
Josephine	OR	272.4893765	1	57	713
Person	NC	272.4310011	0	14	378
Clallam	WA	272.4305786	5	24	654
Malheur	OR	272.3186456	0	5	195
Goshen	WY	271.8189833	0	1	66
Yolo	CA	271.7590533	0	162	1312
Taylor	GA	271.7391304	0	1	53
Cherokee	KS	271.7132234	2	2	242
Warren	PA	271.4932127	1	6	149
Highlands	FL	271.4718899	3	65	840
Telfair	GA	271.2313905	0	2	69
Monongalia	WV	270.841074	3	43	400
Hill	TX	269.9365362	1	12	265
Fayette	WV	269.7427575	5	26	352
Flathead	MT	269.6952766	1	13	429
Marshall	OK	268.9517138	2	0	35
Kitsap	WA	268.9315189	5	111	2073
St. Francois	MO	268.8212641	1	8	306
Preston	WV	268.7616291	1	4	97
Woodward	OK	268.6018567	0	1	154
McKenzie	ND	268.4131415	1	1	16
Randolph	AL	268.4032208	0	3	228
Comal	TX	268.3997299	3	29	558
Conway	AR	268.2984232	0	0	112
Otero	NM	268.2272616	0	10	319
White	IL	268.0596605	2	2	70
Galveston	TX	267.9427085	7	271	2049
Mason	WA	267.7818735	6	22	914
Caswell	NC	267.3566192	2	4	214
Benton	AR	267.1757334	3	29	1214
Essex	VA	267.1653754	0	2	63
Howard	IN	267.037216	4	63	682
Salem	NJ	267.0104042	1	47	488
Osage	OK	266.7389085	1	20	358
Ottawa	OK	266.7080167	0	5	207
Cape May	NJ	265.9102996	2	53	1054
Clear Creek	CO	265.7513011	0	1	30
Marshall	MS	265.6442558	1	23	109
Phelps	MO	265.5835026	1	11	223
Dare	NC	265.5701191	2	16	605
Wayne	WV	265.4632333	2	14	300
Santa Clara	CA	265.4076897	55	1639	8940
Warrick	IN	265.360612	0	6	126
Monroe	MI	265.3348939	5	93	1044
Wright	MO	265.2519894	1	1	102
Cobb	GA	264.2256585	15	646	4322
Whitfield	GA	264.2187576	3	38	780
Carbon	PA	263.9459142	3	17	352
Haywood	NC	263.5892064	1	19	616
St. Clair	MO	263.518499	0	1	83
Chambers	TX	263.5010323	0	18	267
Worth	GA	263.0219342	2	7	225
Lauderdale	AL	262.9395347	3	55	612
Delta	MI	262.837014	0	7	145
Linn	KS	262.7154267	0	0	58
Martin	FL	262.4567806	4	88	721
Warren	NC	262.454435	2	6	211
Barbour	WV	262.3732856	0	0	70
Hartley	TX	262.295082	0	0	32
Delaware	IN	262.1633584	1	104	914
Sequoyah	OK	262.0214469	0	2	239
Lumpkin	GA	261.9833107	0	2	117
Callaway	MO	261.502739	1	12	318
Starr	TX	261.446347	2	10	349
Butte	SD	261.374637	0	0	44
Madison	IN	261.3387287	3	88	965
Le Flore	OK	261.180536	1	5	356
Harrison	WV	260.9754683	1	14	296
Page	IA	260.9304398	0	2	99
Bennett	SD	260.7184241	0	0	2
Sandoval	NM	260.6626396	4	30	595
Wexford	MI	260.3767805	0	7	139
Shoshone	ID	260.0472813	2	0	74
Wayne	TN	259.7555936	1	0	46
Garvin	OK	259.7497622	0	10	221
Polk	MN	259.7484874	1	3	129
Lehigh	PA	259.65102	21	478	1925
Monroe	IN	259.3594948	4	54	941
Chase	KS	259.2592593	0	0	40
St. Clair	MI	259.2401025	3	56	791
Cherry	NE	259.1568763	0	0	6
Christian	KY	258.875241	6	67	670
Cameron	TX	258.8214994	13	237	3092
DeKalb	IL	258.7334473	1	31	337
Washington	MD	258.7105918	3	104	810
Covington	AL	258.6707491	1	7	282
Clinton	IN	258.2330781	0	17	190
Silver Bow	MT	257.7991484	0	6	197
Oneida	NY	257.7220284	2	165	1212
Union	FL	257.6638478	1	7	64
Macon	MO	257.3340196	0	0	111
Flagler	FL	257.1131298	1	38	436
Logan	IL	256.9750367	0	7	164
Smith	TN	256.8942015	0	4	135
Frederick	MD	256.8255533	1	131	676
Maui	HI	256.5511042	5	115	1067
Candler	GA	256.0117034	0	9	61
Kalkaska	MI	255.8734589	0	1	161
Snyder	PA	255.8635394	0	11	134
Morgan	AL	254.6186147	2	86	1114
Harnett	NC	254.4264604	4	57	1203
Sumner	KS	254.33428	0	3	172
Pope	AR	254.208835	1	7	526
Grayson	TX	254.1825701	3	48	1013
Blair	PA	254.1286002	6	38	386
Fremont	CO	254.0311296	0	5	198
Van Buren	AR	253.9570045	1	0	63
Franklin	WA	253.9301461	1	46	525
Lincoln	NM	253.6682417	2	3	179
Lowndes	MS	253.6630954	1	19	600
Johnson	TX	253.3821999	5	49	937
Newton	MO	253.2075792	3	15	455
Uintah	UT	253.1289551	0	4	123
Franklin	MS	252.1750095	1	3	49
Fergus	MT	252.1519868	0	0	17
Westchester	NY	251.8574487	20	915	1903
Benton	TN	251.6881522	0	1	94
Hampton city	VA	251.6477809	12	157	771
Autauga	AL	251.6019259	3	34	447
Marion	WV	251.4595203	0	12	181
Fentress	TN	251.270311	1	4	116
Clay	SD	251.1661285	0	2	45
Heard	GA	250.9084617	0	0	38
Chemung	NY	250.8304522	4	46	398
Bedford	PA	250.7389665	2	2	182
Franklin	NC	250.5621587	0	22	468
Kanabec	MN	250.0625156	0	1	104
Newaygo	MI	249.9947918	3	2	268
Saline	AR	249.991259	0	40	775
Scott	TN	249.8296616	2	1	171
Ogemaw	MI	249.5996986	0	3	148
York	PA	249.2226032	17	303	1313
Roane	TN	248.8359379	1	13	467
Park	MT	248.6927688	0	1	23
Woodson	KS	248.3700714	0	0	25
Chester	TN	248.253565	0	0	110
Racine	WI	248.1529525	6	226	1430
Carroll	AR	248.1300345	1	3	178
Wake	NC	248.0783423	21	814	5240
Erie	PA	247.9539341	11	223	1808
Osage	KS	247.8007682	0	0	88
Codington	SD	247.7291495	0	2	132
Carbon	WY	247.6504953	0	0	49
Fort Bend	TX	247.560798	8	417	3070
Nevada	CA	247.4541752	1	19	617
Ray	MO	247.4065715	2	0	157
Mercer	IL	247.249351	1	3	68
Washington	GA	246.6627974	1	10	132
Lee	AL	246.4669754	8	77	954
Marshall	WV	246.4647709	0	6	180
Stone	AR	246.4033066	0	0	60
Park	WY	246.3475553	1	2	109
Aransas	TX	246.3458696	1	4	229
Adams	MS	246.1826114	4	30	328
Bent	CO	246.1322082	0	1	37
Crawford	IL	246.090746	0	0	54
Pittsburg	OK	246.0684965	0	17	449
Screven	GA	245.7865169	1	12	99
San Jacinto	TX	245.7551385	0	8	274
Johnson	GA	245.7254019	0	3	62
Clay	NC	245.6538171	0	0	100
Marion	MO	245.6407418	1	10	200
Cleburne	AR	245.2697968	0	3	323
Haskell	OK	245.1731535	0	2	44
Gila	AZ	245.0379809	1	11	252
Wagoner	OK	244.3857332	2	24	378
Ashley	AR	244.3264577	3	8	198
El Dorado	CA	244.309084	3	57	983
Mackinac	MI	244.100895	0	0	54
Carson City	NV	244.0828402	0	14	298
Collier	FL	244.0805319	6	151	1356
Maries	MO	243.9565314	0	1	44
Moore	TX	243.8914232	1	2	103
Jackson	IN	243.868771	1	7	296
St. Louis	MN	243.8416276	2	106	1078
